iter	Passed	Remaining
0	191	191467
1	195	97531
2	199	66315
3	208	51937
4	212	42328
5	215	35745
6	224	31883
7	229	28422
8	237	26200
9	244	24215
10	252	22708
11	256	21096
12	259	19705
13	268	18886
14	272	17897
15	275	16965
16	283	16415
17	289	15776
18	296	15325
19	305	14946
20	314	14656
21	317	14130
22	326	13872
23	329	13415
24	347	13549
25	352	13197
26	361	13021
27	366	12715
28	375	12557
29	381	12330
30	391	12237
31	395	11948
32	404	11862
33	408	11607
34	414	11425
35	418	11200
36	422	11006
37	434	10999
38	437	10776
39	447	10739
40	451	10553
41	460	10495
42	464	10336
43	477	10380
44	481	10219
45	485	10062
46	495	10055
47	499	9906
48	509	9882
49	512	9743
50	524	9767
51	530	9668
52	541	9676
53	549	9623
54	553	9515
55	566	9541
56	569	9426
57	572	9301
58	582	9292
59	586	9180
60	589	9079
61	593	8975
62	597	8882
63	606	8875
64	610	8779
65	614	8696
66	618	8611
67	623	8547
68	628	8483
69	632	8402
70	636	8324
71	640	8259
72	645	8196
73	655	8207
74	658	8126
75	667	8117
76	671	8048
77	674	7977
78	684	7984
79	688	7914
80	691	7840
81	703	7873
82	705	7799
83	716	7808
84	721	7766
85	749	7960
86	760	7976
87	762	7904
88	765	7838
89	774	7827
90	777	7765
91	780	7708
92	797	7781
93	815	7857
94	844	8040
95	879	8286
96	908	8459
97	913	8404
98	923	8403
99	927	8349
100	931	8290
101	938	8264
102	944	8226
103	952	8208
104	968	8253
105	972	8202
106	975	8140
107	982	8114
108	988	8080
109	993	8041
110	1005	8055
111	1017	8069
112	1020	8013
113	1025	7969
114	1033	7956
115	1037	7906
116	1046	7894
117	1052	7864
118	1060	7853
119	1064	7809
120	1068	7760
121	1071	7708
122	1083	7722
123	1097	7750
124	1100	7701
125	1109	7692
126	1111	7640
127	1114	7592
128	1118	7548
129	1129	7558
130	1133	7517
131	1145	7532
132	1159	7557
133	1163	7517
134	1174	7523
135	1180	7500
136	1189	7491
137	1195	7466
138	1204	7458
